Name,Location,Description,Batch,Website,Founders,Founders Linkedins
CodeParrot AI,Bengaluru,Helps Developers build stunning UI Lightning Fast ⚡️,W23,https://codeparrot.ai/,"Royal Jain, Vedant Agarwala","https://www.linkedin.com/in/royal-jain, https://www.linkedin.com/in/vedantsopinions"
SuperAPI,Chennai,Programmable API gateway that makes APIs cacheable,W23,https://trysuperapi.com,Adithya Kavuluru,https://www.linkedin.com/in/adithya-kavuluru/
Fern,New York,Input OpenAPI. Output SDKs and Docs.,W23,https://www.buildwithfern.com,"Danny Sheridan, Deep Singhvi","https://www.linkedin.com/in/sheridandanny/, https://www.linkedin.com/in/deep-singhvi-1432659b/"
Unstatiq,San Francisco,Single source of truth for your clinic's finances and supply chain.,W23,https://www.unstatiq.com/,"Sachin Jaishankar, Nish Singaraju","https://www.linkedin.com/in/sachinjaishankar, https://www.linkedin.com/in/nish-singaraju-9472ba175/"
Resend,San Francisco,Email for developers,W23,https://resend.com,"Zeno Rocha, Bu Kinoshita","https://linkedin.com/in/zenorocha, https://linkedin.com/in/bkinoshita"
Decohere,Seattle,Real-time generative AI,W23,https://decohere.ai,"Rishi Bhuta, Will Stith","https://www.linkedin.com/in/rishibhuta/, https://www.linkedin.com/in/williamstith/"
Ally,Remote,Environmental Allergies Management App,W23,https://ally.day,Amadeo Pellicce,https://www.linkedin.com/in/amadeopellicce/
Constant,Remote,Private credit investment platform,W23,https://useconstant.com,Ben Sender,https://www.linkedin.com/in/ben-sender-272813a4
Common Paper,Philadelphia,The SAFE for commercial contracts,W23,https://commonpaper.com/,"Benjamin Garvey, Jake Stein","https://www.linkedin.com/in/bengarvey/, https://www.linkedin.com/in/jakestein/"
Dill,Remote,Dill is a payments tool for contractors & construction suppliers,W23,https://usedill.com/,Catherine Jiang,https://www.linkedin.com/in/catherinehuijiang
DealPage,New York,AI Sales Engineer,W23,https://www.dealpage.ai/,"Ani Gottiparthy, Andrew Luo","https://www.linkedin.com/in/ani-gottiparthy/, https://LinkedIn.com/in/andrewlu0"
